tool_name	display_name	main_category	sub_category	availability	reason
get_deepchem_info	get_deepchem_info	材料科学	计算材料	可用	DeepChem材料科学AI工具包
get_dscribe_info	get_dscribe_info	材料科学	计算材料	可用	材料机器学习描述符库
get_schnetpack_info	get_schnetpack_info	材料科学	计算材料	可用	分子和材料深度学习工具箱
get_torch_geometric_info	get_torch_geometric_info	材料科学	计算材料	可用	图神经网络库
ChEMBL_get_activity	ChEMBL_get_activity	化学	化学信息学	可用	匹配化学信息学关键词
ChEMBL_get_assay	ChEMBL_get_assay	化学	化学信息学	可用	匹配化学信息学关键词
ChEMBL_get_compound_record	ChEMBL_get_compound_record	化学	化学信息学	可用	匹配化学信息学关键词
ChEMBL_get_molecule	ChEMBL_get_molecule	化学	化学信息学	可用	匹配化学信息学关键词
ChEMBL_get_molecule_image	ChEMBL_get_molecule_image	化学	化学信息学	可用	匹配化学信息学关键词
ChEMBL_get_molecule_targets	ChEMBL_get_molecule_targets	化学	化学信息学	可用	匹配化学信息学关键词
Chem_sa_score	Chem_sa_score	化学	化学信息学	可用	匹配化学信息学关键词
Enamine_get_compound	Enamine_get_compound	化学	化学信息学	可用	匹配化学信息学关键词
LipidMaps_get_compound_by_id	LipidMaps_get_compound_by_id	化学	化学信息学	可用	匹配化学信息学关键词
Mcule_lookup_compound	Mcule_lookup_compound	化学	化学信息学	需要API密钥	匹配化学信息学关键词
PubChemTox_get_ghs_classification	PubChemTox_get_ghs_classification	化学	化学信息学	可用	匹配化学信息学关键词
PubChem_get_CID_by_SMILES	PubChem_get_CID_by_SMILES	化学	化学信息学	可用	匹配化学信息学关键词
PubChem_get_associated_patents_by_CID	PubChem_get_associated_patents_by_CID	化学	化学信息学	可用	匹配化学信息学关键词
PubChem_get_compound_2D_image_by_CID	PubChem_get_compound_2D_image_by_CID	化学	化学信息学	可用	匹配化学信息学关键词
PubChem_get_compound_synonyms_by_CID	PubChem_get_compound_synonyms_by_CID	化学	化学信息学	可用	匹配化学信息学关键词
ZINC_get_compound	ZINC_get_compound	化学	化学信息学	可用	匹配化学信息学关键词
eMolecules_get_compound	eMolecules_get_compound	化学	化学信息学	可用	匹配化学信息学关键词
eMolecules_get_vendors	eMolecules_get_vendors	化学	化学信息学	可用	匹配化学信息学关键词
get_chem_comp_audit_info	get_chem_comp_audit_info	化学	化学信息学	可用	匹配化学信息学关键词
get_chem_comp_charge_and_ambiguity	get_chem_comp_charge_and_ambiguity	化学	化学信息学	可用	匹配化学信息学关键词
get_chembl_webresource_client_info	get_chembl_webresource_client_info	化学	化学信息学	可用	匹配化学信息学关键词
get_pubchempy_info	get_pubchempy_info	化学	化学信息学	可用	匹配化学信息学关键词
visualize_molecule_2d	visualize_molecule_2d	化学	化学信息学	可用	匹配化学信息学关键词
visualize_molecule_3d	visualize_molecule_3d	化学	化学信息学	可用	匹配化学信息学关键词
Enamine_get_libraries	Enamine_get_libraries	化学	化学数据库	可用	匹配化学数据库关键词
Mcule_get_database	Mcule_get_database	化学	化学数据库	可用	匹配化学数据库关键词
get_pyscf_info	get_pyscf_info	化学	计算化学	可用	匹配计算化学关键词
get_altair_info	get_altair_info	化学	光谱分析	可用	匹配光谱分析关键词
